,x,y,target
0,-10.713484764099121,3.6589128971099854,-1.0
1,26.125402450561523,8.965133666992188,-1.0
2,-6.010889053344727,-23.055368423461914,-1.0
3,11.860912322998047,13.953756332397461,1.0
4,-8.777464866638184,9.667814254760742,1.0
5,-14.2459077835083,-0.5800623893737793,1.0
6,25.900659561157227,2.492030382156372,1.0
7,-8.194465637207031,4.966792583465576,-1.0
8,24.415424346923828,-13.526961326599121,1.0
9,20.461071014404297,-2.2507238388061523,-1.0
10,-31.254745483398438,-9.414716720581055,-1.0
11,9.142643928527832,-1.51828932762146,-1.0
12,16.39251708984375,22.900747299194336,1.0
13,23.937931060791016,-30.049659729003906,-1.0
14,6.420073986053467,-9.64906120300293,-1.0
15,-20.498037338256836,0.20056848227977753,-1.0
16,1.3284327983856201,9.708637237548828,-1.0
17,29.06159019470215,26.272212982177734,1.0
18,22.814870834350586,31.662582397460938,-1.0
19,-13.39024829864502,-3.1995110511779785,1.0
20,16.5338077545166,-30.535402297973633,-1.0
21,11.581084251403809,35.558040618896484,1.0
22,-7.011508464813232,19.088172912597656,-1.0
23,3.607316493988037,-3.1484344005584717,1.0
24,-18.428808212280273,28.128555297851562,-1.0
25,5.147454738616943,1.3241513967514038,-1.0
26,-3.440112829208374,27.347946166992188,1.0
27,22.558076858520508,-4.49151611328125,-1.0
28,25.99222183227539,-21.121850967407227,1.0
29,-1.6711127758026123,-13.398810386657715,-1.0
30,-10.85887622833252,-26.390668869018555,-1.0
31,-7.734687328338623,-11.478874206542969,1.0
32,-2.2936291694641113,-6.569331645965576,1.0
33,18.087297439575195,-16.41502571105957,1.0
34,14.179244041442871,-24.20906639099121,1.0
35,-14.016043663024902,13.207579612731934,-1.0
36,-9.406365394592285,-15.224254608154297,-1.0
37,5.546938896179199,8.541111946105957,-1.0
38,7.5227789878845215,28.27012825012207,-1.0
39,13.056292533874512,-5.083920001983643,-1.0
40,-15.981078147888184,2.470097780227661,1.0
41,10.180641174316406,-0.32851141691207886,1.0
42,-0.29862165451049805,10.02518081665039,1.0
43,18.469308853149414,10.514049530029297,1.0
44,-4.781164646148682,-6.8000168800354,-1.0
45,11.704126358032227,36.110774993896484,-1.0
46,19.36685562133789,0.35448580980300903,1.0
47,-22.283018112182617,-12.56056022644043,-1.0
48,-8.790240287780762,9.905035018920898,-1.0
49,19.60511589050293,22.466154098510742,-1.0
50,-12.647788047790527,2.5525405406951904,-1.0
51,-19.131000518798828,14.310399055480957,-1.0
52,19.24687385559082,-19.31792640686035,1.0
53,30.366788864135742,5.5480732917785645,-1.0
54,-6.502938270568848,-23.957841873168945,-1.0
55,13.640746116638184,-32.938358306884766,1.0
56,17.685373306274414,11.875462532043457,1.0
57,8.766098022460938,1.8477287292480469,-1.0
58,-12.338929176330566,2.4037210941314697,1.0
59,-32.641998291015625,5.600092887878418,1.0
60,-23.05537986755371,-5.153282165527344,-1.0
61,-3.459101915359497,-8.502216339111328,1.0
62,-13.506109237670898,-17.51885223388672,-1.0
63,-28.514373779296875,-5.542466640472412,-1.0
64,-19.324188232421875,7.431780815124512,-1.0
65,27.717098236083984,-12.276698112487793,-1.0
66,-2.5247037410736084,-36.359336853027344,-1.0
67,-10.363484382629395,-15.194622993469238,1.0
68,-15.145793914794922,1.3190162181854248,-1.0
69,16.488948822021484,-11.849469184875488,1.0
70,-22.218660354614258,-1.3325650691986084,-1.0
71,-15.780549049377441,11.949969291687012,1.0
72,-12.04438591003418,-14.898005485534668,-1.0
73,-9.828682899475098,-12.30692195892334,-1.0
74,-3.511427640914917,21.584346771240234,1.0
75,-12.141756057739258,-16.321083068847656,-1.0
76,5.8147711753845215,8.569957733154297,-1.0
77,14.84400749206543,-1.8106662034988403,-1.0
78,30.57256507873535,1.4608731269836426,1.0
79,-26.071128845214844,8.75700569152832,-1.0
80,-16.13169288635254,9.675311088562012,-1.0
81,-5.408285617828369,-28.22976303100586,-1.0
82,36.96057891845703,1.6912078857421875,1.0
83,14.359185218811035,-14.998600006103516,-1.0
84,2.566277503967285,-10.893922805786133,-1.0
85,4.589641094207764,-7.254844665527344,-1.0
86,-5.12001895904541,7.871225357055664,1.0
87,-8.10496997833252,23.777318954467773,-1.0
88,5.509928226470947,-8.180047988891602,-1.0
89,-19.262516021728516,20.269882202148438,-1.0
90,16.388864517211914,9.808130264282227,-1.0
91,-14.088136672973633,12.75732135772705,-1.0
92,-13.08173942565918,-26.1920108795166,-1.0
